"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 02 16:32:14 UTC 2025","Thu Oct 02 16:32:15 UTC 2025","391","API Test Suite","GitHubSuite","com.example.tests.github.GitHubAuthTest","com.example.tests.github.GitHubAuthTest","listRepos_shouldReturn200","listRepos_shouldReturn200","Verify that an authenticated user can list their repositories"
"passed","Thu Oct 02 16:32:11 UTC 2025","Thu Oct 02 16:32:14 UTC 2025","3556","API Test Suite","GitHubSuite","com.example.tests.github.GitHubAuthTest","com.example.tests.github.GitHubAuthTest","getAuthenticatedUser_shouldReturn200","getAuthenticatedUser_shouldReturn200","Verify that an authenticated user can retrieve their profile information"
